2026-06-26 09:09:14.989 | INFO     | stock_bot.live.runner:_is_trading_day:440 - 거래일 판정 2026-06-26 → 거래일 (출처: exchange_calendars)
2026-06-26 09:30:25.278 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:28] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-06-26 09:40:20.556 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:38] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-06-26 09:50:19.584 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:48] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-06-26 10:00:09.838 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:58] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-06-26 10:10:15.237 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:08] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-06-26 10:20:19.383 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:18] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-06-26 10:30:19.341 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:28] 선별 완료 — 오늘 스케줄 종료 (exit=0) 　　피에스케이(+11.8%), 원익IPS(+10.2%), 주성엔지니어링(+4.7%)
2026-06-26 18:19:39.747 | INFO     | stock_bot.live.runner:_start_env_watcher:1427 - env watcher started (1s poll, scope=대장주봇)
2026-06-26 18:19:40.885 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-06-26 18:19:40.888 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-06-26 18:19:40.891 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-06-26 20:40:39.042 | INFO     | stock_bot.live.runner:_start_env_watcher:1427 - env watcher started (1s poll, scope=대장주봇)
2026-06-26 20:40:40.397 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-06-26 20:40:40.400 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-06-26 20:40:40.402 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
