2026-07-02 00:12:43.598 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-02 00:12:44.975 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-02 00:12:44.979 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-02 00:12:44.981 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-02 00:33:48.816 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-02 00:33:50.232 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-02 00:33:50.236 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-02 00:33:50.239 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-02 09:09:04.989 | INFO     | stock_bot.live.runner:_is_trading_day:478 - 거래일 판정 2026-07-02 → 거래일 (출처: exchange_calendars)
2026-07-02 09:30:26.448 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:28] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 09:40:10.672 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:38] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 09:50:01.529 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:48] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 10:00:05.543 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:58] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 10:10:09.357 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:08] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 10:20:10.549 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:18] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 10:30:16.324 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:28] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 10:40:07.249 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:38] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 10:50:48.135 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:48] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 11:00:32.871 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [10:58] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 11:10:23.881 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [11:08] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 11:20:33.606 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [11:18] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 11:30:02.520 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [11:28] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 11:40:09.420 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [11:38] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 11:50:03.811 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [11:48] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 12:00:02.622 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [11:58] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 12:10:09.652 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [12:08] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
2026-07-02 12:20:04.440 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [12:18] 미선별 — 10분 후 재시도 (exit=0) ⚠️ 조건 충족 대장주 없음
