id,symbol,published_at,publisher,sentiment_score,sentiment_method,is_critical,weight,title
8222,005930,2026-06-17 00:00,YTN,0.0,llm,0,1.0,"삼성, 내일까지 글로벌 전략회의...하반기 사업 점검"
8221,005930,2026-06-17 00:02,중앙일보,0.0,llm,0,1.0,TV·생활가전 이대론 안된다…돌파구 찾는 삼성전자
8220,000660,2026-06-17 00:32,동아일보,0.0,llm,0,1.0,SK AX ‘AI로 기업경영 재설계’ 시장 공략 나서
8230,005930,2026-06-17 04:01,머니투데이,0.21,llm,0,1.0,"삼성물산, '태국 데이터센터' 선점 나선다"
8229,005930,2026-06-17 04:34,동아일보,-0.3,llm,0,1.0,"삼성 준법감시위 “반도체 투자, 정치 논리에 좌우돼선 안돼”"
8232,000660,2026-06-17 05:10,이데일리,0.21,llm,0,1.0,‘6조 확보’ 中 CXMT의 역습…삼성·SK ‘레거시 D램’ 물량공세 ...
8231,000660,2026-06-17 05:32,파이낸셜뉴스,0.21,llm,0,1.0,"""하이닉스 놓쳤다면 이 종목?"" SK스퀘어도 6% 급등…SK 계열사 일..."
8233,005930,2026-06-17 06:00,뉴스1,0.3,llm,0,1.0,삼성전자 상반기 전략회의 이틀째…영상디스플레이·생활가전 새판
8234,005930,2026-06-17 06:00,뉴시스,0.21,llm,0,1.0,"""주름 잡는 삼성, 뜸 들이는 애플""…폴더블 대전 엇갈린 셈법"
8235,005930,2026-06-17 06:00,아시아경제,0.0,llm,0,1.0,"[클릭 e종목]""삼성에피스홀딩스, 플랫폼 지주회사로 재평가될 것"""
8239,005930,2026-06-17 07:00,뉴스1,0.0,llm,0,1.0,1차전 승 '월드컵 열기 후끈'…삼성·LG AI TV '월드컵 특수' ...
8238,005930,2026-06-17 07:45,아시아경제,0.0,llm,0,1.0,삼성전기 목표주가 140만원 vs 300만원…어느 게 맞을까?
8236,000660,2026-06-17 07:48,이데일리,0.3,llm,0,1.0,"SK스퀘어, 하이닉스 배당 확대 기대에 재평가 탄력…목표가 185만원으..."
8237,005930,2026-06-17 07:56,이데일리,0.0,llm,0,1.0,"삼성물산, 지분가치 재평가에 목표가 62만원…“배당수익이 주주환원..."
8242,005930,2026-06-17 08:31,파이낸셜뉴스,0.0,llm,0,1.0,"""이거 받고도 6억 성과급?""...삼성전자, 임직원에 1조6500억 ..."
8244,000660,2026-06-17 08:34,조선일보,-0.21,llm,0,1.0,"삼전보다 삼성생명, 하닉 대신 SK스퀘어…수혜주로 퍼지는 반도체 랠...."
8241,005930,2026-06-17 08:44,조선비즈,0.21,llm,0,1.0,"“삼성물산, 삼성전자 배당 확대 수혜 기대”…IBK證, 목표주가 77..."
8246,005930,2026-06-17 08:48,이데일리,0.5,llm,0,1.0,"아이에스티이, 삼성전자에 HBM전용 풉 크리너 초도 수주"
8240,005930,2026-06-17 08:57,이데일리,0.7,llm,0,1.0,"삼성전자, 분기 영업이익 100조원 눈앞…HBM4·2나노 경쟁력 주목-..."
8243,000660,2026-06-17 09:02,뉴시스,0.0,llm,0,1.0,[속보]삼전 3%·SK하닉 1%대 약세 출발
8245,005930,2026-06-17 09:03,연합뉴스,0.7,llm,0,1.0,"삼성, 3D 적층 트랜지스터 첫 구현…반도체 미세화 한계 넘어"
8247,000660,2026-06-17 09:07,뉴시스,-0.1,llm,0,1.0,"[속보]SK하이닉스, 신입사원 채용에 학력 제한 철폐…세자릿수 채용 ...."
8250,000660,2026-06-17 09:21,뉴시스,0.2,llm,0,1.0,"SK하이닉스, 신입채용에 '학력제한' 전면폐지…최태원 'AI시대 인재..."
8251,005930,2026-06-17 09:22,지디넷코리아,-0.7,llm,0,1.0,"삼성전자 초기업노조위원장, 이달 말 재신임 여부 '판가름'"
8249,000660,2026-06-17 09:23,이데일리,0.0,llm,0,1.0,정말 185만원 가나...SK스퀘어 장중 '신고가' 4%대 급등[특징주...
8253,005930,2026-06-17 09:23,뉴시스,0.21,llm,0,1.0,"'돈나무 언니' 캐시 우드 ""삼성·SK는 AI 심장…반도체 다음은 이것..."
8248,000660,2026-06-17 09:24,서울경제,0.3,llm,0,1.0,하이닉스보다 더 뛰는 SK스퀘어…證 “주주환원 수혜 기대” [줍줍 리....
8252,005930,2026-06-17 09:27,동행미디어 시대,-0.21,llm,0,1.0,"다시 8700선 내준 코스피, 삼성잔자 2.19% 하락…환율 1512...."
8255,000660,2026-06-17 09:27,한국경제,0.0,llm,0,1.0,"""대졸 아니어도 됩니다""…SK하닉 파격 채용에 구직자 몰린다"
8254,005930,2026-06-17 09:38,지디넷코리아,0.7,llm,0,1.0,"삼성 파운드리, 美클라로스와 맞손…AI 데이터센터용 전력반도체 양산"
8257,000660,2026-06-17 10:01,서울경제,0.3,llm,0,1.0,"SK, 데이터센터 두뇌 만든다…팩토리·HBM 연결"
8258,000660,2026-06-17 10:01,서울경제,0.14,llm,0,1.0,SK그룹 시총 2000조 돌파…국내 증시 비중 26%
8259,005930,2026-06-17 10:01,파이낸셜뉴스,0.0,llm,0,1.0,"""백수딸 생활비 줬는데, 삼성전자 주식 사면 증여세 폭탄 맞습니다"""
8260,005930,2026-06-17 10:01,디지털데일리,0.21,llm,0,1.0,"삼성D, 초고휘도 'RGB 올레도스' 출격…차세대 XR 시장 정조준"
8256,000660,2026-06-17 10:03,서울경제,0.3,llm,0,1.0,SK 2000조 시대…삼성 턱밑까지 왔다
8261,005930,2026-06-17 10:09,서울경제,0.3,llm,0,1.0,"삼성D, AI안경용 디스플레이 공략한다…세계 최대 전시회 참가"
8262,000660,2026-06-17 10:15,한국경제TV,0.21,llm,0,1.0,"""SK하이닉스 땡큐"" 145만→185만원…수혜주로 온기 퍼진다"
8263,000660,2026-06-17 10:33,뉴스1,0.21,llm,0,1.0,[속보] SK하이닉스 상한가 경신…1.8% 오른 242만 5000원
8265,005930,2026-06-17 10:42,머니투데이,0.0,llm,0,1.0,삼성증권 ISA 가입자 160만 돌파…절세 통장 열풍 주도
8264,005930,2026-06-17 10:43,조세일보,0.21,llm,0,1.0,삼성전자 목표가 53만원…SOX 급락에도 업황 낙관론 [칩칩폭폭]
8267,005930,2026-06-17 10:47,전자신문,0.5,llm,0,1.0,"삼성, 로직 반도체도 3D로 쌓았다…VLSI 최고 논문 선정"
8266,000660,2026-06-17 10:52,비즈워치,-0.3,llm,0,1.0,"SK하이닉스, '100조 환원설' 부인에도 커지는 기대감"
8278,000660,2026-06-17 10:59,MBN,0.0,llm,0,1.0,"SK하이닉스 채용문 열렸다…""4년제 아니어도 누구나"""
8270,005930,2026-06-17 11:00,연합뉴스,0.0,llm,0,1.0,"삼성전자, '비바테크 2026'서 삼성 헬스 기반 '커넥티드 케어' ..."
8271,005930,2026-06-17 11:00,서울경제,0.0,llm,0,1.0,"삼성전자, 유럽 최대 스타트업 박람회서 헬스케어 신기술 뽐낸다"
8272,005930,2026-06-17 11:00,뉴스1,0.0,llm,0,1.0,이것이 삼성의 차세대 디지털 건강관리 플랫폼
8273,005930,2026-06-17 11:00,아시아경제,0.0,llm,0,1.0,"""병원 밖에서도 의사 처방""…삼성전자, '24시간 AI 케어' 시동"
8274,005930,2026-06-17 11:00,뉴스1,0.0,llm,0,1.0,삼성 TV 전용 시각 명상 서비스 체험하세요
8275,005930,2026-06-17 11:00,뉴스1,0.0,llm,0,1.0,삼성전자 '더 건강한 내일로의 초대'
8276,005930,2026-06-17 11:00,뉴시스,0.0,llm,0,1.0,"삼성전자 파운드리 사업부, 내달 서울서 '세이프 포럼'…""기술 로드맵...."
8279,005930,2026-06-17 11:00,뉴스1,0.0,llm,0,1.0,'삼성전자가 더 건강한 내일로 초대합니다'
