id,symbol,published_at,publisher,sentiment_score,sentiment_method,is_critical,weight,title
7307,005930,2026-05-30 00:05,국민일보,0.7,llm,0,1.0,진격의 삼성전자… 7세대 ‘HBM4E’ 샘플 세계 최초 출하
7309,005930,2026-05-30 01:43,동아일보,0.0,llm,0,1.0,이재용 삼성 회장 자택 근처서 ‘한표’
7308,005930,2026-05-30 01:44,동아일보,0.7,llm,0,1.0,"삼성-SK, 앤스로픽에 투자… 반도체 공급자서 AI 핵심 파트너로"
7310,000660,2026-05-30 01:44,동아일보,-0.14,llm,0,1.0,"삼성-SK, 앤스로픽에 투자… 반도체 공급자서 AI 핵심 파트너로"
7311,005930,2026-05-30 05:00,파이낸셜뉴스,0.0,llm,0,1.0,"""거지보단 부자가 낫잖아""…소유, 월세 1300만 원 낸다더니 삼성닉스..."
7312,000660,2026-05-30 06:30,서울경제,-0.35,llm,0,1.0,"삼성전자, 세계 첫 HBM4E 공급…SK 추격 따돌린다"
7313,005930,2026-05-30 06:38,서울경제,0.7,llm,0,1.0,"앤스로픽發 매출 최소 30조…삼성, 4나노 앞세워 내년 2조 흑자 정조..."
7314,000660,2026-05-30 07:31,데일리안,0.35,llm,0,1.0,SK하이닉스 380만원 간다…“주가 상승 레이스 이제 시작”
7316,005930,2026-05-30 08:00,아시아경제,0.0,llm,0,1.0,"삼성은 합의, TSMC는 조기 진화…반도체 업계 덮친 성과급 갈등[대만..."
7315,005930,2026-05-30 08:01,아이뉴스24,-0.3,llm,0,1.0,"장덕현 삼성전기 사장, 자사주 매입 대박...평가이익만 118억원"
7317,005930,2026-05-30 09:42,이코노미스트,-0.21,llm,0,1.0,"코스피 '왕좌의 게임’…SK하이닉스, 삼성전자 시총 턱밑까지 추격"
7318,005930,2026-05-30 10:50,디지털데일리,-0.3,llm,0,1.0,[취재수첩] 격화되는 노·노 갈등…삼성전자 '내부위기' 돌파 어떻게
7320,005930,2026-05-30 13:00,디지털데일리,0.0,llm,0,1.0,"“삼성전자·하이닉스는 불기둥, 내 계좌는 신저가”…종목 10개 중 8...."
7319,005930,2026-05-30 13:24,TV조선,-0.21,llm,0,1.0,삼성 글로벌 TV 점유율 16.8%…중국TCL과 격차 줄어
7321,005930,2026-05-30 14:51,한경비즈니스,-0.21,llm,0,1.0,3년 걸리던 세대교체가 1년 만에…루빈이 쏘아 올린 ‘제2의 삼성전기....
7322,005930,2026-05-30 16:00,주간조선,-0.3,llm,0,1.0,노조는 이겼지만 삼성은 무엇을 잃었나…'ONE 삼성' 회복하려면
7323,005930,2026-05-30 16:37,동행미디어 시대,-0.3,llm,0,1.0,'성과급 박탈감'에 삼성DX 혼란…AI로 체질 개선 속도
7324,005930,2026-05-30 19:58,한국경제,0.21,llm,0,1.0,제니 쓴 '그 안경' 한국 상륙…삼성도 구글 손잡고 '승부수' [테크로...
7325,005930,2026-05-30 22:01,연합뉴스TV,-0.3,llm,0,1.0,[탐사보도 뉴스프리즘] 삼성전자 노사 합의에도 후폭풍 계속
